[2026-03-19T23:40:40.831Z] POST http://127.0.0.1:5050/api/search → 200 (2ms, 27B)
[2026-03-19T23:40:40.832Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (96ms, 31432B)
[2026-03-19T23:40:41.834Z] GET http://127.0.0.1:5050/api/status/d3060b09 → 200 (2ms, 458B)
[2026-03-19T23:40:42.834Z] GET http://127.0.0.1:5050/api/status/d3060b09 → 200 (2ms, 458B)
[2026-03-19T23:40:43.835Z] GET http://127.0.0.1:5050/api/status/d3060b09 → 200 (5ms, 458B)
[2026-03-19T23:40:44.834Z] GET http://127.0.0.1:5050/api/status/d3060b09 → 200 (3ms, 458B)
[2026-03-19T23:40:45.834Z] GET http://127.0.0.1:5050/api/status/d3060b09 → 200 (2ms, 101980B)
[2026-03-19T23:40:45.853Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, 31432B)
[2026-03-19T23:40:45.853Z] POST http://127.0.0.1:5050/api/search_meta → pending (?ms, ?B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fadobe%2FDJI_0986.jpg&size=200 → 200 (90ms, 6023B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fadobe%2FIMG_9851.jpg&size=200 → 200 (652ms, 3883B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fadobe%2FIMG_9852.jpg&size=200 → 200 (518ms, 5093B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fadobe%2FIMG_9852_1.jpg&size=200 → 200 (521ms, 4764B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fadobe%2FIMG_9853.jpg&size=200 → 200 (396ms, 7127B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2Fadobe%2FIMG_9861.jpg&size=200 → 200 (663ms, 4662B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0001.jpg&size=200 → 200 (656ms, 7763B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0001_1.jpg&size=200 → 200 (691ms, 7464B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0002.jpg&size=200 → 200 (839ms, 7877B)
[2026-03-19T23:40:49.173Z] GET http://127.0.0.1:5050/api/thumbnail?path=%2Fmnt%2Fc%2Fzip%2Faeternus%2FPhotography%2F2025-04-07%20Seneca%20Rocks%2C%20WV%2Fprocessed%2FDJI_0003.jpg&size=200 → 200 (822ms, 7882B)
